loca_2,centroid_lat,centroid_lng
MARRANGAROO,-33.42603060218577,150.1413264187248
MARRAR,-34.83344028870695,147.34272951386436
MARRICKVILLE,-33.9111583427035,151.1554625636943
MARSDEN PARK,-33.69833207095493,150.8216758532567
MARSFIELD,-33.77576964689968,151.10484503780953
MARSHALL MOUNT,-34.54262491012461,150.7309175709078
MARSHDALE,-32.42229385083717,151.80329662079177
BELBORA,-31.984140955260983,152.16918779407047
MARTHAGUY,-31.24841945250721,147.86087314531673
MARTINDALE,-32.59613304790735,150.64659803259772
MARTINS CREEK,-32.555288658655186,151.64444553172882
MARTINSVILLE,-33.051160086241104,151.3917712792511
MARULAN,-34.72952373003679,149.9995475712462
MARYLAND,-32.880001506113935,151.66217318570514
MARYLAND,-28.53923901772833,152.04605161657858
MARYS MOUNT,-30.978353687897997,150.01525415030432
MARYVALE,-32.45890278764558,148.8998183881981
MARYVILLE,-32.91138271388731,151.7555407142695
BELFIELD,-33.90452636017546,151.0858956279911
MASCOT,-33.94053305145396,151.18237855413852
MATCHAM,-33.40674083864067,151.42691184802473
MATHESON,-29.756299504452073,151.57178381012505
MATHOURA,-35.809097628983864,144.86237037674286
MATONG,-34.76305241451338,146.91120688156
MATRAVILLE,-33.96304667570497,151.2327632715467
MAUDE,-34.489887142960136,144.1900397843315
MAULES CREEK,-30.48502574373316,150.23003558816433
MAXWELL,-35.28495080399082,147.29562788154567
MAYBOLE,-29.902282229875315,151.57248431738384
BELFORD,-32.669361498442285,151.28805713523346
MAYERS FLAT,-32.398409370660154,152.3382974096759
MAYFIELD,-35.23634527057964,149.78151728731078
MAYFIELD,-33.66660808186701,149.77483864560975
MAYFIELD,-32.89781278864608,151.73816112286391
MAYFIELD,-34.91990655618331,150.6684830161308
MAYFIELD EAST,-32.900243652421004,151.7499228945642
MAYFIELD NORTH,-32.88964173414389,151.750435937233
MAYFIELD WEST,-32.88497041571128,151.7246099651839
MAYRUNG,-35.47355228822662,145.32609232329452
MAYS HILL,-33.82063104501051,150.98929460733
BELFRAYDEN,-35.11651107610739,147.05530878162358
MAYVALE,-30.409605425467756,150.4108099094965
MCCULLYS GAP,-32.20695168070998,151.00081774377935
MCDOUGALLS HILL,-32.54555423084665,151.1464281013307
MCGRATHS HILL,-33.612798416364335,150.8416544148876
MCKEES HILL,-28.876844147423053,153.19339491668399
MCKELLARS PARK,-33.470397428609665,150.15302398635822
MCLEANS RIDGES,-28.791513238771483,153.39445818613933
MCLEODS SHOOT,-28.659396694010763,153.5541580949358
MCMAHONS POINT,-33.84490266647516,151.2030306695967
MCMAHONS REEF,-34.68367598905182,148.4157317546826
BELGRAVIA,-33.113612564100144,149.02453826342457
MEADOW FLAT,-33.44135533744506,149.91527793311306
MEADOWBANK,-33.81667464818224,151.08859543661822
MEBBIN,-28.449896495531846,153.162411121605
MEBUL,-32.33521715225569,149.35788616654466
MEDLOW BATH,-33.677788207680386,150.29110145821946
MEDOWIE,-32.739356658561995,151.88005187576096
MEDWAY,-34.49185513835321,150.2840041819275
MEERSCHAUM VALE,-28.926497817550253,153.41378655574442
MEGAN,-30.301489240104804,152.7731828053274
MELBERGEN,-33.74486465996276,146.0102894750654
MELINGA,-31.812969474067618,152.4991752423039
MELLONG,-33.1108094244589,150.74123765185877
MELLOOL,-35.323939993759986,143.77294377714892
MELROSE PARK,-33.8141227255243,151.07335472643533
MELVILLE,-32.67707058217587,151.51987928776293
MEMAGONG,-34.295211809647036,148.12863383054957
MENAH,-32.53421325337616,149.54448857512992
MENAI,-34.00692244142269,151.00368087797426
BELIMBLA PARK,-34.08426757972455,150.53989230570247
MENANGLE,-34.13750680179801,150.72132412287226
MENANGLE PARK,-34.10122297401769,150.7566922430883
MENDOORAN,-31.794844178364965,149.06431077573885
MENINDEE,-32.4417214517211,142.71900823984708
MERAH NORTH,-30.18316671584465,149.20600182636394
MEREWETHER,-32.94825012577311,151.74340357402164
MEREWETHER HEIGHTS,-32.94688264484783,151.732753491546
MERIMBULA,-36.89272183169265,149.89806580926728
MERINGO,-35.98153360912782,150.13876086072665
MERNOT,-31.688527511619263,151.57208198281185
ALBION PARK RAIL,-34.561843893696526,150.79486089573123
BELL,-33.497340769476665,150.2939902962975
MEROO,-32.75836177649157,149.6229213797868
MEROO MEADOW,-34.814494571035766,150.60691835586331
MEROTHERIE,-32.15861172822278,149.56959452112943
MERRIANGAAH,-36.839267473771976,149.01940301069385
MERRICUMBENE,-35.73121517026489,149.87274702336168
MERRIGAL,-31.50268441453597,148.26203457291342
MERRILL,-34.684596881340035,149.25711398114325
MERRIWA,-32.106449819296905,150.2959552913357
MERRIWAGGA,-33.78875576264626,145.66180592146236
MERRYGOEN,-31.807054961087594,149.28426071379465
BELLA VISTA,-33.73827413356843,150.95290139886978
MERRYLANDS,-33.836022204743614,150.98668568636324
MERRYLANDS WEST,-33.837109198299316,150.96808810377368
MERUNGLE HILL,-34.61492722045157,146.46522966658773
MERYLA,-34.69416455427222,150.35041542760908
METFORD,-32.76570432308987,151.60906796475263
METHUL,-34.602356254930996,147.1122782701718
MIAMLEY,-32.400557100368744,146.92802522250335
MIANDETTA,-31.586570156677972,146.92154321586048
MICALO ISLAND,-29.450144533064044,153.31090682558056
MICHELAGO,-35.74268702840568,149.2018851232294
BELLAMBI,-34.36844123596589,150.9172916791278
MIDDLE ARM,-34.597639929308556,149.7333661666162
MIDDLE BROOK,-31.92324673288845,150.79247102322296
MIDDLE BROTHER,-31.69014573440459,152.7101822057888
MIDDLE COVE,-33.7926057909353,151.21202546728819
MIDDLE DURAL,-33.63749865960244,151.01388730371275
MIDDLE FALBROOK,-32.442312913023045,151.14908313115126
MIDDLE FLAT,-36.235734241335095,149.19186649956603
MIDDLE HARBOUR,-33.802160805116266,151.23607962709193
MIDDLE POCKET,-28.486868653310086,153.46814132859927
MIDDLETON GRANGE,-33.91465271938647,150.84275662007255
BELLANGRY,-31.3279833511889,152.5818483766666
MIDDLINGBANK,-36.2145181910725,148.81210969641648
MIDGINBIL,-28.499484351051176,153.266800585156
MIHI,-30.718315212245134,151.6942034603393
MILA,-37.049830323021425,149.15987965945425
MILBRODALE,-32.71604964926337,150.9499985258304
MILBRULONG,-35.25211968273262,146.87042135817157
MILKERS FLAT,-33.27973451670835,149.40180593158055
MILLAH MURRAH,-33.18002603469427,149.61157085430727
MILLBANK,-30.791412109480298,152.60696586099706
MILLER,-33.92128027545634,150.87848585845387
BELLATA,-29.93543842382323,149.75899469557623
MILLERS FOREST,-32.762110280325516,151.70141994184402
MILLERS POINT,-33.859529345458206,151.20418372025307
MILLFIELD,-32.88650250194964,151.24765111503248
MILLIE,-29.74830227794068,149.49387127588454
MILLINGANDI,-36.88700397568905,149.85690068721308
MILLTHORPE,-33.4528552537028,149.19146191304156
MILPARINKA,-29.89347498971291,141.57188843281068
