loca_2,centroid_lat,centroid_lng
WARDROP VALLEY,-28.36625335234723,153.4545526224345
WARDS MISTAKE,-30.13021026255357,152.03419225340141
WARDS RIVER,-32.20776984577919,151.9390253213862
WAREEMBA,-33.857641572644965,151.13232576734296
WARIALDA,-29.385430759892746,150.52673441314926
WARIALDA RAIL,-29.638830110075475,150.5260800174014
WARILLA,-34.55210651958332,150.85885061614184
WARKWORTH,-32.55865490762718,151.02025096596472
WARNERS BAY,-32.97119395551803,151.65186124923338
WARNERVALE,-33.24909941831596,151.43018550611202
BLUE HAVEN,-33.21109579619841,151.50344061307646
WARRABAH,-30.50223813283481,150.9716353685308
WARRADERRY,-33.71841850619495,148.2498821424009
WARRAGAI CREEK,-29.562982684271518,152.9737296300305
WARRAGAMBA,-33.890575138637715,150.59899963146165
WARRAGOON,-35.60491571149849,145.13731666427756
WARRAH,-31.669635255448963,150.67154033436012
WARRAH CREEK,-31.771842305538073,150.68179532284083
WARRAH RIDGE,-31.614155793741965,150.5588118660875
WARRAL,-31.157689889522228,150.85800725580287
WARRANULLA,-32.19030104398249,152.12824370523023
ALLYNBROOK,-32.35154158680708,151.54849136899136
BLUE KNOB,-28.55015865849342,153.19389724745275
WARRAWEE,-33.72740898768489,151.1224712985744
WARRAWIDGEE,-34.31570538709161,145.7472459112371
WARRAWONG,-34.486767698806894,150.88252595714718
WARRAZAMBIL CREEK,-28.4453766916249,153.03801127743324
WARREGAH ISLAND,-29.385496494152637,153.2261865744801
WARRELL CREEK,-30.77575393173382,152.90431882971313
WARREN,-31.729501441051436,147.85476434349954
WARRI,-35.32724912087874,149.67837166182463
WARRIEWOOD,-33.68885235000809,151.29558173020425
BLUE MOUNTAINS NATIONAL PARK,-33.90906898921286,150.3531703553615
WARRIMOO,-33.72184176575652,150.6135992202283
WARROO,-33.33892987815573,147.5421800528823
WARRUMBUNGLE,-31.267563256032407,148.93127090756587
WARWICK FARM,-33.912769089668856,150.93701485482933
WASHPOOL,-32.3695066886494,151.92058823815987
WASHPOOL,-29.295825663204365,152.3812775656712
WATANOBBI,-33.26742286675086,151.4258827812295
