loca_2,representative_point_lat,representative_point_lng
HENDRA,-27.41747274,153.07053677041074
HERBERTON,-17.389928595,145.38701119352865
HERITAGE PARK,-27.682588000000003,153.05967881462036
HERMIT PARK,-19.283763945,146.80596829048199
BALMORAL RIDGE,-26.743633539999998,152.89062233588322
HERSTON,-27.44908058,153.0238309652709
HIBERNIA,-23.096060905,147.89968906256524
HIDDEN VALLEY,-23.16733899,150.7144071828656
HIDEAWAY BAY,-20.080034885,148.48211860866158
HIGHBURY,-16.32778242,143.00407330546574
HIGHFIELDS,-27.466875035,151.94687102667484
HIGHGATE HILL,-27.487913005,153.01798320719425
BALNAGOWAN,-21.11478947,149.0090338842641
HIGHGROVE,-27.114667925,151.77054139689847
HIGHLAND PARK,-28.015027295,153.3333272112259
HIGHLAND PLAINS,-27.2631847,151.76209088651652
HIGHLAND PLAINS,-25.868079334999997,148.7674033504195
HIGHVALE,-27.37030236,152.811807846921
HIGHWORTH,-26.61613611,152.93107878321672
HILLCREST,-27.668916584999998,153.02685543906603
HILLVIEW,-28.229773809999998,153.02251297301572
HINCHINBROOK,-18.30892213,146.24352062597177
HIRSTGLEN,-27.837826125,152.09682795695494
BAMAGA,-10.84919086,142.43914203807805
HIVESVILLE,-26.172849245000002,151.68712438424234
HOBARTVILLE,-23.332872809999998,146.3696291247356
HODGLEIGH,-26.606592805,151.93851990110755
HODGSON,-26.55988199,148.62863719686112
HODGSON VALE,-27.67345639,151.94759867572836
HOLLAND PARK,-27.519496625000002,153.0732652660102
HOLLAND PARK WEST,-27.526578784999998,153.06334110270618
HOLLOWAYS BEACH,-16.83736211,145.7382509337204
HOLLYWELL,-27.895598225,153.39987087309876
HOLMVIEW,-27.712157595,153.17036765452718
BAMBAROO,-18.887694575,146.18171713862372
HOLROYD RIVER,-14.207797580000001,142.45759450311982
HOME CREEK,-23.963151449999998,145.23570679673622
HOME HILL,-19.659461309999998,147.41358505790907
HOMEBUSH,-21.270855660000002,149.03874860588974
HOOKSWOOD,-26.530176755,150.32794851510306
HOPE ISLAND,-27.867689615,153.3598186045483
HOPE VALE,-15.138285145000001,145.2475033861836
HOPELAND,-26.876369975,150.66047322944627
HORN,-10.618361295,142.31440532651465
HORSE CAMP,-25.071204215,151.88699554205212
BAMBOO,-16.353189505000003,145.3902593146457
HORSE CREEK,-23.669101695000002,150.38038424491316
HORSESHOE BAY,-19.12440036,146.85387322289995
HORSESHOE LAGOON,-19.564895794999998,147.133118176601
HORTON,-25.228745715,152.3327301196593
HOWARD,-25.338328349999998,152.5364029965035
HOWITT,-17.05871102,141.28022892875862
HOYA,-27.97439926,152.68067878291401
HUDSON,-17.524699645,146.00063773125072
HUGHENDEN,-20.848044780000002,144.19034086515478
HULL HEADS,-17.98238921,146.0545545336605
AGNES WATER,-24.2244791,151.90680730051326
BAMBOO CREEK,-17.551501725,145.98471561553737
HUMBOLDT,-24.29182784,148.90226987490468
HUMEBURN,-27.39606639,145.27358335379074
HUMPHERY,-25.601514260000002,151.47339778886973
HUNCHY,-26.67994101,152.92407645293798
HUNGERFORD,-28.62100944,144.42314084820336
HURRICANE,-16.52274517,144.63173220417892
HUTTON CREEK,-25.667572515,148.42936842723742
HYDE PARK,-19.277856704999998,146.79599248492264
IBIS,-23.070237815,145.0525504648967
IDALIA,-19.305468095000002,146.8112577080713
BAN BAN,-25.69834538,151.76214749266342
IDERAWAY,-25.569065780000003,151.6129229906902
ILBILBIE,-21.708300485,149.3709642038578
ILFRACOMBE,-23.603911205,144.58709508186297
ILKLEY,-26.7317409,152.99659171987426
ILLINBAH,-28.128464885,153.14574838589675
IMAGE FLAT,-26.5992855,152.92479914572988
IMBIL,-26.503253835000002,152.6461567549402
INALA,-27.591291235,152.9682674333152
INDOOROOPILLY,-27.506617239999997,152.98229909443165
INGBERRY,-23.215883315,145.47860368173207
BAN BAN SPRINGS,-25.67345899,151.82499429044435
INGHAM,-18.653535464999997,146.1528099126752
INGLESTONE,-27.613249070000002,149.80195235869593
INGLEWOOD,-28.39316019,151.0729769881739
INGOLDSBY,-27.737578385,152.2787358078205
INJINOO,-11.027523285000001,142.2748664840401
INJUNE,-25.86281469,148.54994151898967
INKERMAN,-19.714513665,147.4985401238995
INNES PARK,-24.86699552,152.46784876502574
INNISFAIL,-17.522893330000002,146.02851766540687
BANANA,-24.530171369999998,150.12847611765812
INNISFAIL ESTATE,-17.516260465,146.04416463973598
INNISPLAIN,-28.178419740000002,152.90063396749116
INNOT HOT SPRINGS,-17.796625365,145.31211268654368
INSKIP,-25.845353475,153.05689429010272
INVERLAW,-26.58671674,151.75211895028295
INVERNESS,-23.11608374,150.71984528302124
IPSWICH,-27.623324535000002,152.76055231331281
IREDALE,-27.578826454999998,152.111471844971
IRONBARK,-27.55489472,152.66986067469742
IRONGATE,-27.633288065000002,151.5153686942008
BANCROFT,-24.7895239,151.28474079731586
IRONPOT,-26.60598519,151.44537989989567
IRONPOT,-23.26860827,150.60608678290822
IRVINEBANK,-17.44586405,145.089763801002
IRVINGDALE,-27.162473765,151.49606630280783
ISIS CENTRAL,-25.187496345,152.1803219905418
ISIS RIVER,-25.265095340000002,152.38279105662517
ISISFORD,-24.5874054,144.13764799326543
ISLA,-25.146060745,150.0033223661837
BANGALEE,-23.076919404999998,150.783574439257
