loca_2,representative_point_lat,representative_point_lng
BROWN HILL CREEK,-34.984310355000005,138.64539145041766
MAGDALA,-34.419934635000004,138.7020556544129
MIL-LEL,-37.77813595,140.86528416322403
SHEA-OAK LOG,-34.500404645,138.84521804435585
PORT MANNUM,-34.92557146,139.30434528066553
LITTLE DOUGLAS,-34.55294439,135.40156771473866
TIATUKIA,-34.657230345,135.83662333373314
POINT BOSTON,-34.62617716,135.92366768730926
GARDEN ISLAND,-34.807063549999995,138.53780298904422
TORRENS ISLAND,-34.782587335,138.52615326569673
FARM BEACH,-34.495888635,135.39711801573566
BROWNLOW,-34.23386755,139.33641084415405
FALSE BAY,-32.945071245,137.6448401140008
DOUGLAS POINT SOUTH,-32.88416892,137.79606935090555
FITZGERALD BAY,-32.919535845,137.7492988199569
DOUGLAS POINT,-32.85005491,137.80731224584164
BACKY POINT,-32.91144515,137.7853565690107
POINT LOWLY NORTH,-32.98464432,137.78026781518497
EDINBURGH NORTH,-34.704434840000005,138.65753632611091
CEDUNA WATERS,-32.18058203,133.6968318074215
MURNINNIE BEACH,-33.31754064,137.37516826188076
WHYALLA BARSON,-32.977055155,137.54250535775043
SULTANA POINT,-35.119173025,137.73925566845753
COWLEDS LANDING,-33.150973035,137.43823759394664
BRUCE,-32.478451500000006,138.20172653547672
BRUKUNGA,-35.0095009,138.9482500165629
AMERICAN BEACH,-35.76765271,137.88068812766164
BUCHANAN,-34.2107586,139.00749864985943
BUCHFELDE,-34.607778905,138.70735369344942
BUCKINGHAM,-36.33666094,140.57201862576068
BUCKLAND PARK,-34.686726930000006,138.48822136089507
BUGLE HUT,-34.4081989,140.73603915947822
BUGLE RANGES,-35.1361284,138.88249519410545
BULL CREEK,-35.2388883,138.76219612464217
BUMBUNGA,-33.908139504999994,138.22886684583
BUNBURY,-36.15918055,139.96549806895737
AMERICAN RIVER,-35.77977386,137.76855331835986
BUNDALEER GARDENS,-33.3544604,138.541048155991
BUNDALEER NORTH,-33.271669745,138.59787738184235
BUNDEY,-33.887175600000006,139.2710945413507
BUNGAMA,-33.197957605,138.0680019604893
BUNGAREE,-33.746177375,138.56618034804097
BURDETT,-35.029767899999996,139.42852982369286
BURNSFIELD,-33.67450885,138.25845488636708
BURNSIDE,-34.941497080000005,138.6664470981679
BURRA,-33.685666499999996,138.9262253225309
BURRA EASTERN DISTRICTS,-33.64445335,139.241501266637
AMYTON,-32.606870244999996,138.34971010477614
BURRUNGULE,-37.7812031,140.59371939550215
BURTON,-34.737269235,138.60053396017952
BUTE,-33.830673805,138.0003480357351
BUTLER,-34.088436345,136.16429000691693
CADELL,-34.08973005,139.770537723097
CADELL LAGOON,-34.033613794999994,139.754275499374
CADGEE,-36.79374746,140.70383372556543
CALCA,-33.05158747,134.34543586430988
CALIPH,-34.63179435,140.27787497055942
CALLINGTON,-35.112527084999996,139.036841126519
ADELAIDE,-34.92576115,138.60030071657468
ANAMA,-33.687982989999995,138.56464109808877
CALOMBA,-34.396002175,138.40936580876507
CALOOTE,-34.974132499999996,139.26498913302024
CALTOWIE,-33.2031821,138.49307105226222
CALTOWIE NORTH,-33.111757005,138.47929958331798
CALTOWIE WEST,-33.15643235,138.39561403745176
CAMBRAI,-34.6841804,139.33407084384092
CAMDEN PARK,-34.968038594999996,138.541656887462
CAMPBELLTOWN,-34.880597464999994,138.6608937813595
CAMPOONA,-33.55746385,136.4107353153043
CANNAWIGARA,-36.259414605,140.63130529638383
ANDAMOOKA,-30.4534886,137.16501576538045
CANOWIE,-33.3739226,138.74690915249073
COHEN,-31.87130513,132.9034639196303
CLINTON,-34.184445835,137.96275217609474
BONYTHON,-32.103921889999995,133.70444487414375
BOONERDO,-33.565040550000006,135.97620380361684
BLESING,-33.689303475,135.4329646199018
BOCKELBERG,-32.583810205,135.05580313100626
BOOKPURNONG,-34.539531975,140.76383307546905
BAKER,-35.6160763,139.10431499499867
BALAKLAVA,-34.219058005,138.36083667946446
BREMER,-35.337791949999996,138.94122638544982
BROOKER,-34.080160185,135.85408221217838
BUCKLEBOO,-32.85882195,136.1273876753578
BURGOYNE,-31.868347864999997,133.0270564800171
CARINA,-32.868125025,135.05581366680406
CADELL,-34.08973005,139.770537723097
BORDA,-35.777646454999996,136.67732031606096
BRAY,-37.24860192,139.99286666844552
CALDWELL,-31.896872684999998,132.42854668412122
CAMPBELL,-32.881009505,134.5287653706309
CARAWA,-32.305659245,134.2053931776275
EDEOWIE,-31.446342835,138.40508563448157
BONNEY,-35.70639658,139.38468505279292
BALDINA,-33.716923699999995,139.1051485027059
BANDON,-34.789511355,139.91133360611303
BAROOTA,-32.8928987,138.01643550539387
BAROSSA,-34.630761415,138.87810659814005
BARTLETT,-32.093536145,133.39796209937037
BARUNGA,-33.72277875,138.1719121577858
BARWELL,-33.577394835,135.5698746659559
BELVIDERE,-34.383038420000005,138.9971650598731
BENDLEBY,-32.3457174,138.7280154164349
ADAMS,-31.896142755,138.67576753198097
ADELAIDE,-34.95378419,138.6102470240983
ALLENBY,-35.483168250000006,140.3864086722757
ALMA,-34.23042794,138.64533971908963
ARCHIBALD,-35.9151792,140.34265205600178
AULD,-34.982655660000006,140.34129607759098
BAGSTER,-31.86416135,133.15106031327323
BUNDEY,-33.88671542,139.2710942672507
BUNYEROO,-31.347388379999998,138.42001932384412
BATCHELOR,-33.23988238,137.20013967430947
BEATTY,-34.064302075,139.44210694281884
ANGAS,-34.705807655,139.31095775320998
ANNA,-34.39637075,139.35068855835863
ANNE,-33.4024341,138.78688077502179
APOINGA,-33.880808915,138.9804926931904
APPILA,-33.024386844999995,138.31077444022952
ARKABA,-31.854948059999998,138.51828200861496
ASH,-33.081848725,137.22626210373204
AYERS,-33.568151650000004,138.7722150569523
BAGOT,-34.55110835,139.3498830235564
BAKARA,-34.58482148,139.91117759116025
COCATA,-33.26323075,135.2451475740487
COGLIN,-32.81538535,138.9956888833036
COLEBATCH,-35.917570465,139.78893433171268
BEEAMMA,-36.57085985,140.7018683823637
BELALIE,-33.21519037,138.64645527164214
BENARA,-37.809487090000005,140.4679093145897
BEWS,-35.26741475,140.51902139637752
BICE,-31.583768305,131.86254540982046
BILLIATT,-34.984778445,140.51856227709254
BINNUM,-36.77918865,140.88088116717313
ADDISON,-33.03896833,134.89913916765641
ALEXANDRINA,-35.451467975,138.95860207666306
ALLEN,-34.746258005,140.46540421657878
ANDREWS,-33.568151650000004,138.61924297914697
BARNA,-33.17520123,136.70475702112878
BARNDIOOTA,-31.8592973,138.18270022063518
CLARE,-33.85622295,138.62980644873554
BRIGHT,-33.88752292,139.11303793049967
BRINKLEY,-35.32717385,139.26836238627948
BROWNLOW,-34.225631594999996,139.35146712873896
BUNDALEER,-33.401521495,138.45885528525173
COWAN,-33.71096346,135.6391869573352
CROZIER,-32.34228261,137.84690092917032
CRYSTAL BROOK,-33.39766785,138.17210575693605
EVERARD,-33.903482095,138.3200884925713
FINLAYSON,-32.586576045,134.35676572628756
FINNISS,-34.88257065,139.27839728547735
BURDETT,-35.074821145,139.39067871887764
BUTLER,-34.093876285,136.16394864888008
BOUCAUT,-33.72277875,138.33122125255233
BOWAKA,-36.964951029999995,139.99386483139426
BOWER,-34.049274995000005,139.27178108571488
BOWHILL,-34.981455800000006,139.68974343444174
CALTOWIE,-33.15712669,138.46275078887516
COLES,-37.248642565,140.5184213669807
BOOLCUNDA,-32.196212235000004,138.21359774448302
BOOLEROO,-32.874466955,138.34087915552027
BOOTHBY,-33.87751386,136.5834498300133
BOOYOOLIE,-33.214824545,138.3076420050674
COLTON,-33.459353905,134.9182425371728
BLACKER,-32.275478925,133.98883903378248
BLANCHE,-37.82353535,140.70126490535702
BLACK ROCK PLAIN,-32.854616684999996,138.65129897781674
BLYTH,-33.87885298,138.46364880556143
CONMURRA,-37.10621752,140.2216796513059
COOLINONG,-35.485068645,139.5632169774141
COOMOOROO,-32.682080545000005,138.5147395078444
COONATTO,-32.479584315,138.3413163097161
COOTRA,-33.26793536,135.8930302227617
COPLEY,-32.443520355000004,137.69216101929044
CORTLINYE,-33.03843165,136.33978610215496
COTTON,-35.26741475,140.34174994636072
CARALUE,-33.290331555,136.12692685230044
COOMBE,-35.9239519,140.14994779709147
COONARIE,-35.146454605,137.25301772467856
CORROBINNIE,-32.839433275,135.91327865542104
COTABENA,-31.620525205,138.18292421406665
FIELD,-35.922092455,139.65147347478438
FISK,-35.729577905,140.88327490993777
CARR,-31.159286075,138.70846243523567
CASSINI,-35.66667978,137.29910516033476
CATT,-31.91516897,133.33546894458846
CAVENAGH,-32.66935166499999,138.995661392604
CHARLESTON,-33.39345393,137.10381324769102
CHESSON,-34.789645050000004,140.13833288472915
CUDLAMUDLA,-32.08675853,138.39133546771455
FORREST,-32.882688905,134.35685157017738
COMAUM,-37.237760879999996,140.88204410310453
CONEYBEER,-35.73254415,139.88740468638997
GILLEN,-32.604712774999996,137.6926748042721
GLEN ROY,-36.677648649999995,140.5217963283971
GLYDE,-35.921705180000004,139.4998850539584
GOODE,-31.938932944999998,133.7479434534628
DAVENPORT,-32.538229099999995,137.8517780209756
DIXSON,-34.08257255,136.29870193569366
CULTANA,-32.943349135,137.6323322405495
CUMMINS,-34.25762932,135.66394649189368
CUNYARIE,-32.85778101,136.34011021118462
DARKE,-33.42162517,136.11578939053058
CURRAMULKA,-34.68890339,137.76897154932743
DALKEY,-34.229235715,138.49385110876193
ERSKINE,-32.682313054999995,138.81499545510403
ETTRICK,-35.073469360000004,139.54245899086658
EURELIA,-32.509112445,138.51484387484012
EURILPA,-32.19777402,138.67612106051172
CAROLINE,-37.97933297,140.88092538324577
CARCUMA,-35.56926,140.12366264118577
DUFFIELD,-36.577421259999994,139.88886902211976
DUNCAN,-35.726549860000006,137.11362985329282
DUTTON,-34.3283944,139.18504973226624
EBA,-34.065108550000005,139.60279123147245
ENGLISH,-34.04904874,139.1060370149102
CARRIBIE,-34.992442510000004,137.06711322098522
CASTINE,-32.295362395,137.66370939227434
CHANDADA,-32.72075012,134.717460458369
CHILLUNDIE,-32.11585524,133.94286296550808
FLINDERS,-34.865379114999996,135.88488299899984
CONDADA,-32.699150720000006,135.05574012479303
CAMERON,-33.9023603,138.17173199097837
CAMPOONA,-33.542678945000006,136.4107758736577
CANNAWIGARA,-36.1363738,140.69837354706226
LINDLEY,-33.887248565,139.61345451150697
MACGILLIVRAY,-35.90292635,137.47305352424357
MAKIN,-35.905074354999996,140.51092021196303
MAMBLIN,-33.12148945,135.7395565651624
MARCOLLAT,-36.581545465000005,140.34200760246856
MAY,-31.72361829,132.38389686315222
KALDOONERA,-32.578156629999995,134.89768146049244
KANMANTOO,-35.017132360000005,138.95671231080888
KAPPAWANTA,-33.67701925,135.2957272678112
KAPUNDA,-34.29928796,138.93660597909104
KATARAPKO,-34.374541199999996,140.5028087382305
KEVIN,-32.0562238,133.01915942617865
JAMIESON,-33.395740149999995,136.41138024002345
KIANA,-34.0590722,135.36058371004665
JEFFRIES,-35.720350055,139.56332766525037
JELLICOE,-34.506798265,139.20860190084443
JESSIE,-36.96485787,140.88218120507176
NUNNYAH,-32.16706533,134.40177332316355
JOANNA,-37.10488422,140.88247070697042
GEEGEELA,-36.57683505,140.88001977643376
GILBERT,-34.20073782,138.79969381561722
GILES,-31.872943895,132.78050757904492
GRACE,-34.43286666,138.53321930344765
GORDON,-34.38420005,140.7795613760922
HAWKER,-33.749366165,136.757612695475
FISHER,-34.54977063,139.52220611721728
DALRYMPLE,-34.946456389999994,137.6592106976962
DOWNER,-33.312121095,134.87603396862647
CUNGENA,-32.59234015,134.7172857384818
CUNNINGHAM,-34.37804517,137.88671223865651
DARLING,-33.04149105,138.16120156440155
DAY,-35.485304,140.63469510153925
DUBLIN,-34.42856917,138.3349409947468
JENKINS,-32.775652875,137.70180951697097
JOYCE,-37.034092990000005,140.40610379538225
JULIA CREEK,-34.176227425,139.0156402311324
NURIOOTPA,-34.522371050000004,138.85177022361404
O'CONNOR,-33.073032635000004,136.70479362326876
O'LOUGHLIN,-31.887986185,133.53424468989377
FREELING,-35.32317125,139.09712158682015
FRENCH,-31.710834075,138.8333315046808
GOYDER,-34.088877350000004,138.22335147014087
GUTHRIE,-32.11585524,134.0602758141893
HAIG,-33.852474825,135.5191281947753
HAINES,-35.872920484999995,137.6455950931568
GLYNN,-33.394211235,136.93061196077042
GOSSE,-35.758368875,136.8961748661096
HEGGATON,-33.40314563,136.58435596134143
HILL,-32.973037250000004,135.73930430763002
HINCKS,-33.80046306,136.02835439079956
HUDD,-33.67531366,135.1568757063215
HUTCHISON,-34.3974606,136.03450534263604
INKSTER,-32.878830755,134.71768142121104
LEWIS,-35.733544685,140.12372669149676
INKERMAN,-34.242284749999996,138.22859589872962
HALL,-34.060609525000004,138.49209426278762
HANDYSIDE,-32.56869813,137.52387839516908
LUCY,-31.596403905000003,132.08886664398943
MACCLESFIELD,-35.1356317,138.84015600579136
MACDONNELL,-37.98067997,140.70260191785297
GAMBIER,-37.82353535,140.88164623555576
GREGORY,-32.733066955,138.16307219686436
GREY,-37.54027676,140.70129898982907
GUMBOWIE,-32.993782265,138.95848984524022
HAGUE,-32.164891725000004,134.20532914955487
KAPPAKOOLA,-33.26461088,135.46100245039867
KARCULTABY,-32.707240225,134.89774905230155
RIPON,-32.83637315,134.20420106935444
PARA WURLIE,-34.977601895,137.28209214299477
PEARCE,-33.847668999999996,135.38579504096919
PEELLA,-32.974368825,135.91339474418533
PERLUBIE,-32.45386599,134.4361618060994
PETHICK,-31.94936498,134.00256551399298
PILDAPPA,-32.6950007,135.22247042982593
PINNAROO,-35.26411055,140.8756235997669
PIRIE,-33.214863255,137.95816021475468
PARINGA,-34.2497992,140.84353694449663
PEACHNA,-33.847450965,135.68520922871227
PORDIA,-33.123402185,135.22253507512204
HAY,-34.239451985,139.53879501284197
MANN,-33.6882912,136.58382252757582
MANNANARIE,-33.022060065000005,138.6478410550197
MANTUNG,-34.58758458,140.21584423466493
MARKARANKA,-34.065650165,139.9561150513092
MARMON JABUK,-35.180568255,139.98516900229373
MAUDE,-33.887568395,139.44188907446235
JUTLAND,-34.714556695,139.13020505871447
KADINA,-33.988028795000005,137.79817243028694
KANYAKA,-32.04747013,138.21377137073551
FORSTER,-34.780843035000004,139.66044765756172
FOX,-37.248747035,140.33408303479868
MANGALO,-33.542821275,136.584084785296
MOUNT BENSON,-36.96286972,139.78818658888633
MOUNT MUIRHEAD,-37.53780333,140.3351322644716
MURBKO,-34.23891312,139.72848766170856
ROBERTS,-33.87193227,136.40921878332972
MOBILONG,-35.08216055,139.2400125562517
MOLINEUX,-35.18792465,140.16454751004295
MONBULLA,-37.39361818,140.7017611500136
MONGOLATA,-33.549553535,139.10487713093386
MOOCKRA,-32.310602814999996,138.39164829046564
PORT GAWLER,-34.59585174,138.49674620885253
SADDLEWORTH,-34.0307813,138.81952763129877
WANNAMANA,-33.128100895,135.56674218572041
PUREBA,-31.987860345,134.20524148992448
MINGBOOL,-37.683790985,140.88213615095367
MURLONG,-33.695714015,135.97627264121567
MURRABINNA,-36.796313145,140.0310603787783
RIVOLI BAY,-37.538681845,140.18477212465228
MONARTO,-35.055836805,139.09991541222718
MUDLA WIRRA,-34.49428895,138.69021940298728
MURTHO,-34.069966050000005,140.88474669172524
HINDMARSH,-37.684053495,140.518523517605
LIGHT,-34.381048135,138.81698637438944
HOLDER,-34.31575745,140.09433788005902
HOOPER,-35.147422765,139.75693903973757
HORN,-32.098290379999995,133.27578308510687
HOWE,-33.21517475,138.2211409378632
HYNAM,-36.781164700000005,140.7023635235931
JAMES,-33.401504685,136.7574615031245
LANDSEER,-36.583855369999995,140.01762625056065
HALLETT,-33.403837835000004,138.96282305764998
HAMBIDGE,-33.4167887,135.84231530632167
HANSON,-33.75598352,138.80514156229992
HARDY,-32.992704974999995,139.26791086968723
HART,-33.718117405,138.47483507241006
HASLAM,-32.441031675,134.23961466248664
LOVEDAY,-34.2917252,140.44099738622322
LIVINGSTON,-35.56153076,139.88713766285952
LOCHABER,-36.81687479,140.52163707317249
MAGAREY,-31.848186595,132.65984677867914
MAITLAND,-34.374837395,137.71584902012555
MALCOLM,-35.48801399,139.34287163472226
NARRIDY,-33.3977129,138.31694183569013
ONKAPARINGA,-34.9509858,138.82766983133928
PARATOO,-32.6706571,139.2274313149295
PARCOOLA,-34.10752585,140.29194374208097
PARILLA,-35.26411055,140.6964187680837
PEAKE,-35.389476095,139.98508697311166
PINDA,-32.59859439,138.34124072191602
PINKAWILLINIE,-33.03752126,136.12722756875684
PARNAROO,-32.99387715,139.10410983781782
PARSONS,-36.533403335,140.52196809231762
PASCOE,-33.42162517,136.2554109758658
PEACOCK,-36.582444054999996,140.1687986108127
PLAYFORD,-33.712820105,136.93121890122134
POOGINOOK,-34.06359125,140.13546808815235
SANTO,-36.139227935,139.6585712449098
WANDEARAH,-33.39852546,137.97793529693678
WANILLA,-34.55269869,135.66386167352277
RUSSELL,-31.732510429999998,131.92656195278084
POYNTON,-33.23981749,137.3534127040365
PEEBINGA,-34.98826287999999,140.87502709570595
PEKINA,-32.85570395,138.5110503443599
